,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
1,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
2,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
3,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
4,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
5,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
6,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
7,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
8,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
9,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
10,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
11,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
12,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
13,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
14,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
15,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
16,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
17,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
18,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
19,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
20,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
21,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
22,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,ATLANTA,GA
23,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
24,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
25,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
26,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
27,1039 Boston Road Housing Development Fund Corporation,44-52-75,470904138,NFP,NEW YORK,NY
28,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
29,"105TH FLOOR HEROES FUND, INC.",21-26-78,020560593,NFP,COLD SPRING HARBOR,NY
30,"106 RQW FRG PO, Inc.",45-62-68,811070262,NFP,WESTHAMPTON,NY
31,10 Arts Foundation Inc,48-38-54,853117085,NFP,NEW YORK,NY
32,1-0 Foundation Ltd.,48-95-06,874831038,NFP,KERHONKSON,NY
33,10 Freedom Place Housing Development Fund Corporation,46-36-74,475005707,NFP,NEW YORK,NY
34,"10 in 10 Project, Inc.",40-12-38,205326666,NFP,FT. MONTGOMERY,NY
35,10 ORCHARD STREET HOUSING DEVELOPMENT FUND CO INC,05-37-28,132683270,NFP,ELMSFORD,NY
36,"10 Thousand Windows, Inc.",46-50-29,272505761,NFP,KNOXVILLE,TN
37,1 Freedom For ALL Inc.,48-80-35,823270255,NFP,BRONX,NY
38,"1 SG Michael S. Curry Memorial Foundation, Inc.",41-44-93,261211059,NFP,NEW YORK,NY
39,Academy of General Dentistry Foundation,43-07-85,237310583,NFP,ALBANY,NY
40,"American Agora Foundation, Inc.",40-62-78,204000236,NFP,NEW YORK,NY
41,AMERICAN CLASSICAL ORCHESTRA INC,15-89-17,061072470,NFP,NEW YORK,NY
42,"AOPA Foundation, Inc.",40-51-26,208817225,NFP,FREDERICK,MD
43,ARNOLD GOLD FOUNDATION,21-38-43,223052098,NFP,ENGLEWOOD CLIFFS,NJ
44,BLESSING WAY FOUNDATION,20-76-19,043138834,NFP,NEW YORK,NY
45,BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
46,BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
47,BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
48,BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
49,Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
50,"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
51,"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
52,DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
53,EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
54,Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
55,EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
56,"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
57,Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
58,"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
59,"For The Win, Inc.",45-46-69,473875560,NFP,GREENVILLE,SC
60,Freedom Fund,44-63-63,300805758,NFP,BROOKLYN,NY
61,GERRY HOMES,21-21-45,160755780,NFP,GERRY,NY
62,"Gideon and Claudia Oberweger Family Foundation, Inc.",40-39-03,205916926,NFP,NEW YORK,NY
63,"GLEN CONSERVANCY, LTD",21-21-60,710883483,NFP,FULTONVILLE,NY
64,"Harris, George D. Jr. Trust under Article 8 of Will",49-18-62,266660787,CRT,NO DATA AVAILABLE,
65,Heritage Foundation,40-38-82,208465001,NFP,BROOKLYN,NY
66,"HETL Association, Inc.",43-82-58,453307445,NFP,JAMAICA,NY
67,High Atlas Foundation,40-50-84,850478294,NFP,NEW YORK,NY
68,"HOMEVILLE MUSEUM, INC.",40-25-93,204130195,NFP,HOMER,NY
69,I Am A Leader Foundation,44-55-63,454625508,NFP,PROVO,UT
70,"I Love Math, Inc.",41-29-81,262609655,NFP,BRONX,NY
71,"INTERNATIONAL ORGANIZATION FOR ADOLESCENTS, INC.",20-98-81,134093883,NFP,CHICAGO,IL
72,ISAIAH J. JONES MEMORIAL FOUNDATION,20-36-56,760736140,NFP,BRONX,NY
73,"Jean Bertrand Foundation For The Disadvantaged, Inc.",42-80-65,800735536,NFP,BROOKLYN,NY
74,JOSEPH LANDAU FREE AID FUND INC,03-55-60,112708982,NFP,WOODMERE,NY
75,KEKST FAMILY FOUNDATION,03-98-66,133382250,NFP,NEW YORK,NY
76,KEUKA HOUSING COUNCIL INC,02-32-90,161092291,NFP,PENN YAN,NY
77,Koinonia Ventures Inc,46-53-18,821443905,NFP,WOODBURY,NY
78,"LUPUS FOUNDATION OF GENESEE VALLEY NY, INC.",03-68-42,222612041,NFP,ROCHESTER,NY
79,"Markowitz Family Foundation, Inc.",40-37-51,205613149,NFP,BROOKLYN,NY
